artist,album,track,uri
Skrillex,Don’t Go (with Justin Bieber & Don Toliver),Don’t Go (with Justin Bieber & Don Toliver),spotify:track:55sgQENF3LY1sUcJUwasLl
Xscape,Off The Hook,Who Can I Run To,spotify:track:0wdaPticLmmqJdhgLDJ9zI
Daniel Caesar,Freudian,Freudian,spotify:track:4nESnAOALHmxg8UFCCtXhO
Good Morning,Shawcross,Once You Know,spotify:track:6paKWFfOKMZrL9dhLUvUS8
Steve Lacy,Apollo XXI,N Side,spotify:track:24G1PXBWoRgV0wDXZKwxzz
EXO,LOVE ME RIGHT - The 2nd Album Repackage,LOVE ME RIGHT,spotify:track:3F76FuWseLvGkcgatzTD9q
Raury,Strawberry Moon,Feel Good,spotify:track:3JeZ3qlEKKuOccXYcm0ZDo
Denzel Curry,BLACK FLAG FREESTYLE (with That Mexican OT),BLACK FLAG FREESTYLE (with That Mexican OT),spotify:track:5HwYQgUgUsHC3RqfSFMPxq
IDK,F65,Pinot Noir - Instrumental,spotify:track:2BOwIZpYRVmgutQiJBDCLG
Jung Kook,3D : The Remixes,3D (feat. Jack Harlow),spotify:track:01qFKNWq73UfEslI0GvumE
Ariel J.,glow88,glow88,spotify:track:17BXElBigYVjo7fEUQYDLY
Marigold,I Hope This Doesn't Feel New,Is heaven far away?,spotify:track:664ponds3PdPH7fTrm33iG
Vulfpeck,The Beautiful Game,Conscious Club,spotify:track:5vmFVIJV9XN1l01YsFuKL3
Takeoff,Last Memory,Last Memory,spotify:track:66XXCMX3Na7KNfm5e0tOVZ
KZ,For You,For You,spotify:track:0KNKX17E9Qm61LRQqSW2tK
Taylor McFerrin,Love's Last Chance,Now That You Need Me,spotify:track:6Gc5Ve2ZZ6JaOWqxY23D5J
Ariana Grande,Dangerous Woman,Greedy,spotify:track:2tpIAmAq9orm1Owh5pja1w
Coldplay,Parachutes,Parachutes,spotify:track:4qzoHxgp42ylb18ga1SWTL
BashfortheWorld,Un Verano En Nueva York,Walking on Water,spotify:track:6ckQnlsPDKuEnPVovJH1M4
Rapsody,The Idea Of Beautiful,Good Good Love (feat. BJ The Chicago Kid),spotify:track:4SnvGQ7wRoFpxPKXmwJJMr
Harrison,Around You,Around You,spotify:track:0z776mgVazsVcW25OW385L
Bluestaeb,Rodalquilar,Tomorrow We Will Love Again,spotify:track:3VWtFEuZ6gDiuFEmoZs5Gl
Wavves,King of the Beach,Green Eyes,spotify:track:1iMOLNyzKtIMucwZzQSjZi
Rihanna,ANTI,Love On The Brain,spotify:track:4JlYrtPZlMWkhCiMrLHUrP
Leven Kali,Joy,Joy,spotify:track:2QmJfxcWEMuT1gDqmTdjEv
Stevie Wonder,Hotter Than July,All I Do,spotify:track:0k3fBeBIcok5gbYQyQbxP5
Aminé,ONEPOINTFIVE,DAPPERDAN (feat. G Herbo),spotify:track:0iMIQ9pTAwimaR9gpUwOgo
River Tiber,Nevada,Nevada,spotify:track:0z5ETXpbYwKcGo0CUoZeGs
LE SSERAFIM,CRAZY (feat. PinkPantheress),CRAZY (feat. PinkPantheress),spotify:track:3lLH0FlC2pYCeZEf05zKQn
KAYTRANADA,99.9%,BULLETS,spotify:track:54B9SGrQI1Yfu0vuoBZBGy
Hoody,You Will Never Know,You Will Never Know,spotify:track:6N01HkXOMOvC9659WOQGAp
Jess Glynne,I Cry When I Laugh,Don't Be so Hard on Yourself,spotify:track:6jF1nHIMESqft9p33tQYPn
Tame Impala,The Slow Rush,Breathe Deeper,spotify:track:3LbZIhU0smEU5SUnxod4j4
Lianne La Havas,Echos d'aujourd'hui,Friends Like Evergreens,spotify:track:1PXt7IKtWZarJbuPmUTBBi
Niia,I,Hurt You First,spotify:track:3aq7bBhLd8E1yenCIcVJ8P
Ari Lennox,PHO EP,Night Drive,spotify:track:3VeuvRWfJLSOzeVPrgi5MR
John Legend,Evolver,Green Light,spotify:track:7sRcjDOmCwU4ApXVPx3FUU
Video Games Live,Level 3,Zelda 25th Anniversary Overture,spotify:track:7duEsCj7QbHyjNFmntqM0J
PinkPantheress,Do you miss me?,Do You Miss Me?,spotify:track:67r7ZHxVxONN9ZQk05AQVL
Pell,Fallback,Fallback,spotify:track:5JLhqAQ9vsdZBECtrTTEFP
Lianne La Havas,Blood,Midnight,spotify:track:6c3S2wem7E9jyD69Tm3VfE
Mei Semones,Hfoas,Hfoas,spotify:track:5eyjEDUae7IZghCOtPH6Ab
Dennis.,Dream State,Dream State,spotify:track:56FPFlRGOe6LIbmqC70gtu
Elton Aura,Coconut Water Freestyle,Coconut Water Freestyle,spotify:track:22YqOyZNiUEsqGKCM3pFNZ
Bobbi Humphrey,Blue Break Beats,Harlem River Drive,spotify:track:6SzCJmFD2OspicHVEQVEw2
Childish Gambino,"""Awaken, My Love!""",Redbone,spotify:track:3kxfsdsCpFgN412fpnW85Y
ZHU,Genesis Series,Automatic,spotify:track:1NB0VPwAw6Rx8b9qvDKB5M
Mac Miller,Macadelic (Remastered Edition),Fight the Feeling,spotify:track:2w9htZtkcbR48NCWzXjfvb
Photay,Onism,Eco Friend,spotify:track:4BCQJofIHJAoovkTNNxFQQ
honey,like i love u,like i love u,spotify:track:6SSVYA5Sh73YQAFEzpF20O
Jungle,For Ever,Cosurmyne,spotify:track:7JrwRcbAj13sNPEGShBD9g
Noname,Rainforest,Rainforest,spotify:track:7thhWP37F1tHFcrnwLNaao
Steven Universe,"Steven Universe, Vol. 2 (Original Soundtrack)",Escapism,spotify:track:0NzPPTeda2Wdu2gij81Sxd
Varnish La Piscine,Love Boat,Love Boat,spotify:track:2N7riX0kViIiUZzMiVqhRG
Supershy,Happy Music / Something on My Mind,Happy Music,spotify:track:3rh495Z2rIRwD316blea4f
Jorja Smith,On My Mind (Jorja Smith X Preditah),On My Mind (Jorja Smith X Preditah),spotify:track:1OxL1FWSEd7QmJoWLRP2NO
Drake,So Far Gone,November 18th,spotify:track:0JaVdpmiex2EP7bBzyKVTa
Beyoncé,B'Day,Freakum Dress,spotify:track:3IAyQMTYOsspp9p1htFSak
Potatohead People,Big Luxury,Messenger,spotify:track:66haSHDUxnVMxVOc4lwLt6
Sunni Colón,Little Things,Little Things,spotify:track:0N0ZPAQXozVq5FXIj2Cugl
Kendrick Lamar,"good kid, m.A.A.d city","Bitch, Don’t Kill My Vibe",spotify:track:4Pwjz3DfvfQWV0rO2V8jyh
Doechii,Booty Drop,Booty Drop,spotify:track:1iOdhNBdePXR632DhYZVO2
Thed Jewel,Fuchsia,Fuchsia,spotify:track:0C8Rz4NiKOSEXaX1da590N
Gavin Turek,MADAME GOLD,2AM,spotify:track:2yj56ZDLq2gbh9VJc0d8nv
NxWorries,Yes Lawd!,Suede,spotify:track:4F07ku5lMBIoybFPStM2j4
Smino,Luv 4 Rent,"Modennaminute (with Lucky Daye, Phoelix)",spotify:track:37oNzLFCyw2On6e39bN2sp
Bob James,One,Feel Like Making Love,spotify:track:7pQuGYsKiXEFblXWqkvPSS
Ibeyi,Ibeyi,River,spotify:track:1wFIjJSHobXpNDbSfe8Gdb
JPEGMAFIA,LP!,REBOUND!,spotify:track:7J8V76XTLhJXAm8hwCQKXG
Daft Punk,Discovery,Superheroes,spotify:track:186hvCTyrni4KT9nwIQ7zS
JPEGMAFIA,I LAY DOWN MY LIFE FOR YOU,JPEGULTRA! (feat. Denzel Curry),spotify:track:0NMC6aezcf1GItgscoiQCO
Bog Bod,Body Shop,Call Me,spotify:track:0si8hZWe7aBTfR6BkaVDhu
27Delly,Fly Since Birth,Signed From Uptown,spotify:track:6iUOel8dLxsf6ww1LoDIt6
Zack Fox,Square Up,Square Up,spotify:track:5QVVZCiiLA4U6ZPA1OXU5f
alici,Talking to myself,Outta my mind,spotify:track:4wybgPtBTHPkU4jAUykh2j
Swedish House Mafia,Paradise Again,Lifetime (with Ty Dolla $ign & 070 Shake),spotify:track:3QqHt507QJZCzluEYsnv4u
Lava La Rue,Vest & Boxers,Vest & Boxers,spotify:track:6f2877TmbjnqZEqeQEGi3o
Jungle,Loving In Stereo,All Of The Time,spotify:track:5z5vzI255pLytft2I6gb8M
KYLE,Smyle,SummertimeSoul,spotify:track:7DbvkEtWyvcglWcj9jyBPN
Bad Bunny,X 100PRE,Caro,spotify:track:6it15CsDlkqB7N4lF0C1qM
Cookiee Kawaii,Take The Lead,Take The Lead,spotify:track:5qXxSSo0YaX3c6n8PVdaV7
Zack Fox,dummy,dummy,spotify:track:3Yvrrzb0ebtnJYpiXFMWns
Dana and Alden,"Coyote, You're My Star",You Can Do Anything,spotify:track:0aLiCVb8v6CAZUChGwutcC
Open Mike Eagle,A Special Episode - EP,Ziggy Starfish (Anxiety Raps) [feat. Gold Panda],spotify:track:7fjLBPTsQrbkV2WRedi2bw
kurffew,lazy,lazy (haste),spotify:track:4oU1f0xXoSCSB4tpKPSwc7
Teni,TROUBLE - A COLORS SHOW,TROUBLE - A COLORS SHOW,spotify:track:7bhyLtr2FFiL9Psq42UNiw
Joyce Wrice,Iced Tea,Iced Tea,spotify:track:6kmXHLDDK7RQXTjHooTCzH
tobi lou,tobi lou and the Juice,Birthday Boy (feat. Zack Villere),spotify:track:6jK4ybz93tWYjRJwjM9GSW
ELIZA,A Sky Without Stars,Whoever You Are,spotify:track:5Yq2IBzA24Kex9RQ2By7MQ
Lava La Rue,Widdit,Widdit,spotify:track:2xksvHleMQfe4V7XN5fJH9
Humble the Great,every night was the same,circles,spotify:track:5snFgC1DedpQ5yhJINZ70A
Fthmlss,Misplaced,Waiting,spotify:track:3gzUcCMArMURXCTB7pbGWD
jsilos,Stay Inspired,Down4Me,spotify:track:2h945VWM1QyeqzbZ1dIN2i
BROCKHAMPTON,iridescence,FABRIC,spotify:track:5jQAnD4ISqs7v8FT7povMS
Rachel K Collier,Microfreaking Out,Microfreaking Out,spotify:track:6MKLw3ifX2FyrOOl1SOZ3d
Macabre Plaza,Out With the Old in With the Taboo,Till the Wheels Fall Off,spotify:track:29ac5I0B0NierBqLwJgMkc
Sango,SANGOZINHO,Revelação Edit (2018),spotify:track:6wVyRE3khvksmQ4acDnEDc
Paris Texas,girls like drugs,girls like drugs,spotify:track:0eXkUXr4wJ3Orruk8S1cpW
Photay,Windswept,Zephyr,spotify:track:5nPHdYRosuCs4OQs2bxgDr
Chris Crack,The Future Will Be Confusing,"Nonchalant, but Still Nigga",spotify:track:79uMt7FOsMbRGK8Xu2p8E7
Joomanji,Manj,Chasin Rhymes (feat. Saara Maria),spotify:track:7IuUJr2TbcSftJobqjtkxP
Carly Rae Jepsen,The Loveliest Time,Kollage,spotify:track:6vX00oaG3bMuNBKxapoPYO
Yeek,Sebastian,The Left,spotify:track:0uYRKUD994hbQi3JLSt22K
Arin Ray,Platinum Fire,Reckless,spotify:track:1BybndP1YgPEIk6WUnL6kT
Hope Tala,Girl Eats Sun,Cherries,spotify:track:13z7RLPmgupzRwQY9NiTZU
MXXWLL,SHEEESH,LIGHT TURN GREEN,spotify:track:3AvWmgrhL1nL93F7WTPQaQ
Von Sell,Hell No,Hell No,spotify:track:5mffkEzZTedjDxTGOjkbI4
Teezo Touchdown,How Do You Sleep At Night?,Nu Nay,spotify:track:5YkIbI89Fg2Z3YdT9VqQTo
House Rulez,Mojito,Do it! (feat. 이윤정 Lee YoonJung),spotify:track:1L6WLQzjgx1dDc9KIKXuUI
Charli xcx,BRAT,I think about it all the time,spotify:track:3OaFGqHUyxGVkOcSILw8Kx
Riovaz,waiting alonE,waiting alonE,spotify:track:4kZgxSySjVSLRpegVw8SsX
Dreamville,Revenge Of The Dreamers III,"1993 (with J. Cole, JID, Cozz & EARTHGANG feat. Smino & Buddy)",spotify:track:1KbCc89SxYma4BnBChkJBs
Kelis,Wanderland,Scared Money,spotify:track:1bXx3UobM90EZdBuN4kEHP
Nao,For All We Know - The Remixes - EP,Get to Know Ya - KAYTRANADA FLIP,spotify:track:5ymY6gY9vaUSG46kmQWBsm
Insightful,33,Last Time,spotify:track:00xQAdsovq47HhsyPOdfi6
Roy Blair,Chasing Moving Trains,Karaoke,spotify:track:6pEm14l7QaNZ6Pir0fbg6l
UltraViolet Catastrophe,Opposite of Blue,Opposite of Blue,spotify:track:2Oy6To4rr9ZmuJkCUBPp6D
Chris Crack,What Y'all Mad About Today,Art Orgasms Money Peace,spotify:track:75ArFXOjSB1SThKwwkYaNL
KHYA,"MARYJANE, THE REMIXES",MARY'S STRAIN 144BPM,spotify:track:25dkvHpCszey9vRGmx6JzX
Aminé,TWOPOINTFIVE,Between The Lines,spotify:track:7bxt6ecu674O1kILcWPpUl
Yonny,"Everywhere, But Always",City In Motion,spotify:track:43BIXS2YxrHyZiswZjB8VL
A.CHAL,EXOTIGAZ,INDIGO GIRL,spotify:track:7FLkSvWI9hOXCZPC3JhURD
Chenayder,Maybe In Another Life,Teen Heartbreak,spotify:track:3rmAnURDhpwJ6cUyRvo9ZI
Aminé,Limbo,Becky,spotify:track:4PDfwhqOmkkocOHg4Rh4Mq
Mach-Hommy,#RICHAXXHAITIAN,#RICHAXXHAITIAN,spotify:track:5Jl0mQEHMn82Ed0SBuEdu8
Jonas Brothers,A Little Bit Longer,Burnin' Up,spotify:track:72jGj8k9C7DIQesDYenUT3
Alé Araya,Janet,Janet,spotify:track:4TlIIHzB3LgHmrPofscKtv
Doechii,NISSAN ALTIMA,NISSAN ALTIMA,spotify:track:0fsgieABBLYkx6rk5N3JUD
Tim Atlas,Wallflower,Wallflower,spotify:track:2mlCfcprMj3aOUX2uYuQEE
Greentea Peng,Hu Man,Hu Man,spotify:track:2ZfVt2skRwfEq1Wb3D7GmP
Tove Lo,Sweettalk my Heart,Sweettalk my Heart - Team Salut Remix,spotify:track:6FtCJnJB1NefRXvOTOPsop
Lil Uzi Vert,Eternal Atake,Baby Pluto,spotify:track:7hav1MHURQf5SAoPk0egqh
Oxlade,AWAY,AWAY,spotify:track:2fu4D1jrlwF1go7S2Fr3qD
Topaz Jones,Don't Go Tellin' Your Momma,Baba 70s,spotify:track:02db6BBXTy5CSGkYRnw5M0
pida,To My Dear Neighbors,flow (feat. SUMIN),spotify:track:3c0QNsniXxRmxBVbiZNu4k
Flume,The Difference,The Difference,spotify:track:4nlvKIIetOWGIMyhjQXgOZ
Prime Society,The World Is Yours,Paradise,spotify:track:4ZDWgNBrQhooVAzG5eitvY
Infinity Song,Metamorphosis,Hater's Anthem,spotify:track:1wipegfMZkHgwyR3XMDuJ1
Dana and Alden,"Coyote, You're My Star",Ice Cream Song,spotify:track:4k2F9Boz6rr63wfeOrgVQx
KAYTRANADA,BUBBA,Culture (feat. Teedra Moses),spotify:track:23zOqixUia8E5BVMYHXL0c
Lil Wayne,Tha Carter III,Mr. Carter,spotify:track:2tQM1BUrXp2kqOM6mN11TC
Pink Martini,1969,Mas Que Nada,spotify:track:7f45eBjWvqhcf9KbiYfdJH
¿Téo?,Sol,The Most,spotify:track:28K1weUTBUawkdH4fMWxPl
RiTchie,Dizzy (feat. Aminé),Dizzy (feat. Aminé),spotify:track:4zoCcLYrVxb91i6GLfry1m
Sunni Colón,Supernova,Supernova,spotify:track:2fQo9apVAYggTBzaFPUh9B
A Tribe Called Quest,We got it from Here... Thank You 4 Your service,"Solid Wall of Sound (feat. Busta Rhymes, Jack White & Elton John)",spotify:track:5OzOQRssjhxaBj0xd78Z2w
Frank Ocean,In My Room,In My Room,spotify:track:4S4Mfvv03M1cHgIOJcbUCL
Brian Fresco,Casanova,Higher,spotify:track:0UrcVq0hS7LhBBHL4KH9BT
Elujay,Circmvnt,Luvaroq,spotify:track:5mlirWXPq6KoroAUgy6Wdq
Temples,Strange or Be Forgotten,Strange or Be Forgotten,spotify:track:2TS4pqGwXQBBtcDbJWjtkx
Stefan Ponce,For a Girl,For a Girl,spotify:track:2Dc0gQQVF71JKky4rXZoSZ
Naji,Misfit,Misfit,spotify:track:5vImHuu5YuSorWonbi81Hs
Matt Martians,Matt's Missing,Rushback,spotify:track:4p1uenobmaSwFWfbf6BpxI
Dana and Alden,Quiet Music For Young People,Bowl Cut,spotify:track:1NHATkZoJgxBP3b1rTAtaI
Disclosure,Settle (The Remixes),You & Me - Flume Remix,spotify:track:1snNAXmmPXCn0dkF9DaPWw
LAUSSE THE CAT,Redstripe Rhapsody,Redstripe Rhapsody,spotify:track:2H7Nwzydg8ZusjdWkYqsHy
Kanii,same stories (come and go),same stories (come and go),spotify:track:0HZPos6Q7OA5WabEIDI3hG
Phony Ppl,mō'zā-ik.,Either Way.,spotify:track:3fUaqg2fk3Zblhg4FJiwL7
Ryan Beatty,Boy in Jeans,Rhinestone,spotify:track:54cnAvRmZiDDWz2fVz4HEB
Wealstarcks,Gratidaoh,Ta Faltando Um,spotify:track:2ulugT3jtketebnq2DUAqh
Chloe x Halle,The Kids Are Alright,Happy Without Me (feat. Joey Bada$$),spotify:track:1mQI744KrltnCU798zIGEe
Sweet Trip,You Will Never Know Why (2021 Remaster),Your World is Eternally Complete - 2021 Remaster,spotify:track:0B9o1qzf2HvTDDp60EhZMQ
Peter CottonTale,Forever Always,Forever Always,spotify:track:4B2kIC5F0kSVfTD5crzgm9
Winston Surfshirt,Panna Cotta,Of Another Kind (feat. Milan Ring & Jerome Farah),spotify:track:169j5dzpCn3ikLsO24LhtN
4batz,act ii: date @ 8 (feat. Drake) [remix],act ii: date @ 8 (feat. Drake) - remix,spotify:track:3QS9ZCtoSCJhmaJ7QNXSAS
Zilo,Gorgeous,Into The Sun,spotify:track:4Y6T5gVCfOxSGFwzDxxWJe
¿Téo?,Sol,Buzzed,spotify:track:46vrZhwggdZuuZGwIQ80O3
Kendrick Lamar,"good kid, m.A.A.d city",Money Trees,spotify:track:0AOvNRgl0SMfOibWA5bP8o
Clairmont The Second,Dream,Dream,spotify:track:0bNAtZ59KgGe9qw0e2uhKf
Parliament,Can't Hardly Wait,Flashlight,spotify:track:6VSm4HuSiOGWjbt6zpPnvh
Tommy Richman,THE RUSH,MESSY,spotify:track:2K6f0hncJdVzA9eK76JIxN
TimaLikesMusic,"Love, Daddy Princess",can't stay late,spotify:track:5Uw6xqYpg5qf0x42kPJ1b2
Marlin Kites,Babylon,Babylon,spotify:track:0HGmcaAtZSIDYeccKZetOr
Queen,Greatest Hits,Crazy Little Thing Called Love,spotify:track:61cJFE80UmxuAr47TZ1hik
BENEE,FIRE ON MARZZ,Soaked,spotify:track:4zIiarkbaDt2cm6sukb1Xt
Drake,Views,Controlla,spotify:track:3O8NlPh2LByMU9lSRSHedm
Jamila Woods,Boundaries,Boundaries,spotify:track:1x8Y6qmIS378NB720asCAm
Miraa May,Care Package,Regardless,spotify:track:79SwVzOYeZANQKa8v9IM8I
Lucky Daye,Painted,Little More Time,spotify:track:5wLS99Zq97F2GMJFcZuRfU
Drake,Certified Lover Boy,You Only Live Twice (with Lil Wayne & Rick Ross),spotify:track:50ceCGZ3oD3U5caQV5bP6f
Barney Artist,Home Is Where the Art Is,Ilvu Too,spotify:track:4ukT0HvkMaYeoRqtg8CUQS
bLAck pARty,Mango,Summer Love,spotify:track:2FUHFEMdXa930HlZVooFPn
The Avalanches,Because I'm Me,Because I’m Me - Black Milk Remix,spotify:track:3nzHs13Wod0uwPxiV9EKcZ
Florence + The Machine,Ceremonials,Shake It Out,spotify:track:4lY95OMGb9WxP6IYut64ir
Megan Thee Stallion,Neva Play (feat. RM of BTS),Neva Play (feat. RM of BTS),spotify:track:2ZqTbIID9vFPTXaGyzbb4q
Sam Wills,Talk In The Morning,Talk In The Morning - Lauren Faith Remix,spotify:track:2N8wj2W0tGfD4RSVvmR1ML
BRICK!,safe & warm,safe & warm,spotify:track:3eHD7MT148ZWG9dM4uI5PV
Iman Omari,"The Love That I'm Giving (feat. Kent Jamz) [from Insecure: Music From The HBO Original Series, Season 4]","The Love That I'm Giving (feat. Kent Jamz) [from Insecure: Music From The HBO Original Series, Season 4]",spotify:track:0mm9LHnF6srqBzJAwBSWSD
Kali Uchis,ORQUÍDEAS,Igual Que Un Ángel (with Peso Pluma),spotify:track:6XaJfhwof7qIgbbXO5tIQI
Che Ecru,Still Single,All Alone,spotify:track:435UtfpL0gcJ5A7FUTfpYa
Megan Thee Stallion,Cobra,Cobra,spotify:track:3Kh8X9lHztqVBTgw30HbXn
Kendrick Lamar,To Pimp A Butterfly,Mortal Man,spotify:track:1WT11QmhZutciEv1NsHt1R
DRAM,That's a Girls Name,Best Hugs,spotify:track:3FISzZeOXxIw20PB0n5ed4
SUMIN,MINISERIES,THE GONLAN SONG,spotify:track:39hXM0fPqzUzGCPECajajT
Cruel Santino,End Of The Wicked (feat. Octavian),End Of The Wicked (feat. Octavian),spotify:track:44wbg5P53VGNBCtg9nxYtm
3ee,LSTN!!!,WAITING!,spotify:track:2Aq2ENKCEQdtHk001AQNcB
Lolo Zouaï,Ocean Beach,Jade (feat. Blood Orange),spotify:track:6HMJztEGXVZgkPICDvH2yx
Giveon,Like I Want You,Like I Want You,spotify:track:1Gv8NYJeqQNXXrYQ1c1r4e
Childish Gambino,"""Awaken, My Love!""",Stand Tall,spotify:track:7j8k8M9korrPWTERMyD7mM
Hermitude,Pollyanarchy,OneFourThree (feat. Buddy & BJ The Chicago Kid),spotify:track:7kgKHe6ZxLEg83y4LiQvB5
Charli xcx,BRAT,Apple,spotify:track:19RybK6XDbAVpcdxSbZL1o
Victoria Monét,JAGUAR II,Alright,spotify:track:3OgdnA3LYpJ6vxrfk6X3p4
KAYTRANADA,BUBBA,Freefall (feat. Durand Bernarr),spotify:track:2flqiTbuPeDZXxgEW67rxw
Sam Wills,Don't Doubt It,Don't Doubt It,spotify:track:28yYqgatnEJFxN8JOmvxUk
Duckwrth,I'M UUGLY,GET UUGLY (feat. Georgia Anne Muldrow),spotify:track:3xYtNqHilctW4aOZWAvQvx
Disclosure,Waterfall,Waterfall,spotify:track:72EaWichAXl7tTulGwxCKO
Rex Orange County,Apricot Princess,Apricot Princess,spotify:track:28GbaBYFpYi1J61fXnGSfd
SHINee,Married To The Music - The 4th Album Repackage,View,spotify:track:5xiDNjMiIjjRAxPAXYGN4c
Luidji,Pour deux âmes solitaires - Part 3,Pour deux âmes solitaires - Part 3,spotify:track:2gw03KZeQjufzowARhTttR
Topaz Jones,Don't Go Tellin' Your Momma,Black Tame,spotify:track:2nAEYxNIEC5vh1HrLUbH7L
Camper,War (feat. Ari Lennox & Jeremih),War (feat. Ari Lennox & Jeremih),spotify:track:4q2nRKWOSBH1IFp4EK1n3w
KTmelodies,someday we'll all be free (ktmelodies flip),someday we'll all be free (ktmelodies flip),spotify:track:1NqAewW2AefeBuYy3zetKH
Daniel Caesar,Freudian,We Find Love,spotify:track:1TPLsNVlofwX1txcE9gZZF
Christian Kuria,Toroka,Toroka,spotify:track:6RMltEudPPFoJuUoshxRBB
Little Dragon,Are You Feeling Sad?,Are You Feeling Sad?,spotify:track:6iTHsvN6Mi2xaQ0igLNvTD
Les Imprimés,Rêverie,Love & Flowers,spotify:track:3gjdkunhScGmwP2QfwYK27
Janko Nilovic,Pop Impressions,Pop Avenue - Remastered,spotify:track:3l5mm1Rqw9VuxTnMFVUmDG
Disclosure,Alchemy,Higher Than Ever Before,spotify:track:0H2idlyIDxyotmpAJ2NUeh
Joyce Wrice,Good Morning,Good Morning (Mndsgn Remix),spotify:track:7qzCsFUXg9ov9eQ78BQQdl
Hardsoul,Back Together (feat. Ron Carroll),Back Together (feat. Ron Carroll) - Classic Mix,spotify:track:1PH8at6E0jy3rFPH66aH9m
Remi Wolf,Juno,Sexy Villain,spotify:track:27sBcXtgTBSJRdUxei1a7J
Internet Girl,ROLE MODEL (DELUXE VERSION),PULL UP,spotify:track:6szieQTDNflTk76XjM2JKF
Cash O’Brien,Bluff,Bluff,spotify:track:0VB56pXbo1JDm0ePyq1CbF
Calvin Harris,Slide (feat. Frank Ocean & Migos),Slide (feat. Frank Ocean & Migos),spotify:track:6gpcs5eMhJwax4mIfKDYQk
Daniel Caesar,Freudian,Get You (feat. Kali Uchis),spotify:track:7zFXmv6vqI4qOt4yGf3jYZ
Moss Kena,These Walls,These Walls,spotify:track:2AxpwJsPqDtO9Hd0ZDykU6
Blue Lab Beats,Say Wow,Say Wow,spotify:track:27BXc7zVWqSTiWHSdOlJch
Cartel Madras,WORKING,WORKING,spotify:track:5e49oiBAVNGKsBdPPJmRe0
Beyoncé,RENAISSANCE,THIQUE,spotify:track:5pBl6aDQqw0b0O0t640BUB
Kenny Beats,LOUIE,Hold My Head,spotify:track:4eSZUNz2flCKs7zESV50kW
TeaMarrr,Thanks for the Chapstick,In My Mind (Horz),spotify:track:63qnBLe2yGDJml0dpmm8gX
Jakob,All I Wanna Do,All I Wanna Do,spotify:track:0SYu7wDS7dJSnuyn5GEDpp
Tia Gordon,Cold Showers,Cold Showers,spotify:track:0xLIu53VONIKcPKcwtBBkd
Aaron Childs,My Way,Good 2 U,spotify:track:1z4UvK0V4Tz5a6NeuPiMp6
Labrinth,Mount Everest,Mount Everest,spotify:track:18wCJcoFmXZ0jfrFhF6cYS
Yellow Ostrich,The Mistress,WHALE,spotify:track:2pSrLIUJ30ZX84igVPT8n2
atm,atm,miami nights,spotify:track:6d5M1q7nhBOFeEcdTeNXM3
Ric Wilson,Clusterfunk,Clusterfunk,spotify:track:72XBKleAwVl37YC6m17jAe
KAYTRANADA,TIMELESS,Call U Up (feat. Lou Phelps),spotify:track:5R1ypHK15jupUwYgcYrylE
Little Simz,Drop 7,Fever,spotify:track:0ADr2jDuHvK77uIJWTKTvs
Young Thug,JEFFERY,Pick Up The Phone (feat. Quavo),spotify:track:5NAMZI9lVhxNa6AZp3iQVH
D'Angelo,Voodoo,Feel Like Makin' Love,spotify:track:5ZbY8J67Qsv6Kko2tZOf5Z
Michaela Jaé,Something To Say,Something To Say,spotify:track:5CznIqYyWcPBQ9YaIJtLLF
Khai,If You,Do You Go Up,spotify:track:4wGFvpeyctkNnDk37QT8GB
Elements of Music,Sunrain,Get Along (feat. Anderson .Paak & Blu),spotify:track:5cfIibuUGxlrdXcNaWmAnQ
Lecrae,Anomaly,All I Need Is You,spotify:track:7tmn5vxGo2lYaDwZm9jwtk
Beyoncé,Dangerously In Love,"Me, Myself and I",spotify:track:6XsT5UGfpaFeHQf5LRIy4W
Goth Babe,Weekend Friend,Weekend Friend,spotify:track:2d3QlXE6FXFDeodiS66yjM
Dried Spider,Everything Is Touching,Everybody Wins,spotify:track:6YZTTcD1W9vGNGw8Yzicgt
DESTIN CONRAD,SATIN,ON 10,spotify:track:5qPcrnvubBiYudhiPcpPIK
Oriyin,Roll The Dice,Roll The Dice,spotify:track:13iySKnW33nZuTffrdNKkG
DijahSB,I Wonder,I Wonder,spotify:track:73EAAWXJWqjisguv0DfGDv
Varnish La Piscine,METRONOME POLE DANCE TWIST AMAZONE (Bande originale du film),ILLUSION SUR MAUNA LOA,spotify:track:32XrWifbbjOTP4djnHM11J
LEISURE,Sunsetter,Flipside,spotify:track:0HMRes6oRnftVM821ZSOpe
Jharrel Jerome,For Real (feat. Kemba),For Real (feat. Kemba),spotify:track:05IZnB0bFIEl6fIPITzfqg
Tank and The Bangas,Red Balloon,Oak Tree,spotify:track:4kj92jveROrq8SVf7OyhIK
落日飛車 Sunset Rollercoaster,Jinji Kikko,My Jinji,spotify:track:7wmFsS43fO8vAg0vcr776N
Jerome Thomas,"Mood Swings, Vol. 1",Route of Escape,spotify:track:5jaPbv768FSr7x33IcR1pW
BROCKHAMPTON,TM,LISTERINE,spotify:track:4wO7V8MuYSJ3BnSdj1CCiy
Aminé,ONEPOINTFIVE,STFU2,spotify:track:05tCaHe9yHLjO2qnXScDNV
Beyoncé,RENAISSANCE,CUFF IT,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS
Theophilus London,Bebey,Whiplash,spotify:track:3ubwpGT0gJYI9MRJcZPP0f
